Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,C,23,TOR,40,11,22.7,3.8,7.9,.479,0.5,2.0,.256,3.3,5.9,.553,.511,1.8,2.7,.689,2.0,4.4,6.4,1.0,0.6,0.7,1.2,2.1,9.9
Steven Adams,C,29,MEM,42,42,27.0,3.7,6.3,.597,0.0,0.0,.000,3.7,6.2,.599,.597,1.1,3.1,.364,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6
Bam Adebayo,C,25,MIA,59,59,35.0,8.4,15.6,.536,0.0,0.2,.083,8.4,15.4,.542,.536,4.4,5.5,.805,2.6,7.1,9.7,3.2,1.2,0.8,2.5,2.8,21.2
Ochai Agbaji,SG,22,UTA,41,4,16.0,1.9,4.1,.464,1.0,2.6,.383,0.9,1.5,.607,.586,0.4,0.5,.682,0.7,1.1,1.8,0.6,0.2,0.1,0.4,1.5,5.2
Santi Aldama,PF,22,MEM,59,18,21.9,3.3,6.9,.472,1.3,3.6,.358,2.0,3.3,.598,.566,1.3,1.8,.725,1.0,3.6,4.6,1.2,0.7,0.7,0.7,1.9,9.2
Nickeil Alexander-Walker,SG,24,TOT,42,3,14.7,2.3,4.9,.478,1.0,2.5,.417,1.3,2.4,.539,.583,0.6,1.0,.675,0.2,1.4,1.7,2.0,0.6,0.4,1.2,1.5,6.3
Nickeil Alexander-Walker,SG,24,UTA,36,3,14.7,2.3,4.7,.488,1.0,2.4,.402,1.3,2.3,.578,.591,0.8,1.1,.692,0.2,1.4,1.6,2.1,0.7,0.4,1.3,1.6,6.3
Nickeil Alexander-Walker,SG,24,MIN,6,0,14.7,2.5,5.8,.429,1.3,2.7,.500,1.2,3.2,.368,.543,0.0,0.2,.000,0.3,1.5,1.8,1.2,0.3,0.5,0.7,1.0,6.3
Grayson Allen,SG,27,MIL,58,56,27.6,3.4,7.7,.442,2.0,5.0,.405,1.4,2.7,.509,.573,1.7,1.8,.897,0.9,2.4,3.4,2.4,0.8,0.2,1.1,1.7,10.5
Jarrett Allen,C,24,CLE,58,58,33.3,6.1,9.4,.652,0.0,0.2,.111,6.1,9.2,.661,.653,2.4,3.3,.731,3.2,6.7,9.9,1.6,0.8,1.2,1.4,2.2,14.7
Jose Alvarado,PG,24,NOP,61,10,21.5,3.3,8.0,.411,1.4,4.0,.336,1.9,4.0,.488,.496,1.1,1.3,.813,0.5,1.9,2.3,3.0,1.1,0.2,1.3,2.0,9.0
